fighter;160;320;640;1440;2800;5600;10000;20000;40000;60000;80000;112000;31200
gladiator;188;376;825;1650;3300;7250;12050;24000;48000;68000;93000;130000;40000
headHunter;190;400;900;1800;3500;7500;15000;30000;60000;110000;160000;220000;60000
knight;180;370;800;1650;3200;6400;12000;25000;45000;65000;90000;110000;35000
thief;100;202;400;802;1700;4500;9000;22000;46500;68500;98000;131500;33500
bard;170;350;1000;2200;4400;7500;15000;30000;55000;75000;95000;145000;40000
priest;160;330;660;1300;2600;5000;9000;23000;50000;90000;130000;165000;50000
paladin;175;352;720;1500;3500;7000;10500;21000;48000;78000;102000;138000;38000
martialArtist;220;442;950;2000;4500;9000;16000;32000;65000;120000;170000;240000;65000
samurai;200;400;925;1900;4000;8250;15500;31000;62500;115000;165000;230000;62000
witch;150;300;600;1000;2000;4000;9000;17000;38500;58500;78500;108500;31500
warlock;200;400;800;1600;4000;8000;16000;32000;59000;90500;140000;190000;55000
fireMage;170;350;700;1500;3000;7000;12000;22000;52500;85500;135000;175500;58500;
sorcerer;230;500;1000;2200;5000;10000;18000;35000;70000;150000;200000;300000;80000
